PNR,customer_email,account_number,reward_points_earned,reward_points_burned,total_reward_points,membership_tier_before_transaction,membership_tier,date_points_earned,points_before_transaction
L5XXF4,sean.cooper@example.net,8770065689,368,0,563,Silver,Silver,4/29/2022,195
L5XXF4,dominic.pennington@example.com,7501612149,825,0,2918,Gold,Gold,8/25/2022,2093
PVXX89,timothy.burke@example.com,6935047077,102,0,344,Silver,Silver,9/12/2022,242
PVXX89,scott.garcia@example.com,4812616338,271,0,488,Silver,Silver,11/4/2021,217
E7XXGW,sean.carlson@example.org,9169564791,892,0,942,Silver,Silver,2/20/2022,50
D0XX4B,chris.lewis@example.org,8962794300,170,0,559,Silver,Silver,2/21/2022,389
E9XX3B,david.russell@example.com,4188775838,646,0,828,Silver,Silver,9/11/2022,182
F9XXVB,jeremy.wiley@example.com,5990777053,15,0,367,Silver,Silver,9/14/2022,352
E9XX3B,kimberly.levine@example.net,366410691,67,0,159,Silver,Silver,8/12/2022,92
LVXXFJ,david.ellis@example.net,3470145812,9,39,48,Silver,Silver,8/11/2022,78
DLXXB5,veronica.mccoy@example.com,1352314955,98,0,147,Silver,Silver,8/11/2022,49
LVXXFJ,paul.glover@example.org,7807028961,98,0,306,Silver,Silver,8/30/2022,208
CPXXQN,christopher.day@example.org,541505059,63,0,256,Silver,Silver,8/30/2022,193
NDXXW7,bobby.miles@example.org,8906339793,1050,0,2151,,Gold,8/13/2022,1101
OTXXRV,david.miller@example.org,7704717034,24,110,153,Silver,Silver,8/13/2022,239
CJXXFE,jeffrey.dunn@example.org,3312150337,708,0,749,Silver,Silver,8/6/2022,41
F6XXFY,stephanie.wallace@example.net,3886687279,30,0,216,Silver,Silver,8/6/2022,186
F6XXFY,joseph.hernandez@example.com,9009935852,52,0,933,Silver,Silver,9/13/2022,881
JSXX4K,tyler.herrera@example.com,1718173707,2930,0,3257,Silver,Gold,9/13/2022,327
NHXX9H,regina.allen@example.org,2976001001,110,0,976,Silver,Silver,8/5/2022,866
NHXX9H,melissa.spears@example.net,4053741938,1304,364,2341,,Gold,8/5/2022,1401
JRXX58,april.greer@example.com,7448693046,1147,0,2777,,Gold,9/29/2022,1630
OQXX5P,joyce.arnold@example.org,2065994042,1076,0,4592,Gold,Gold,7/2/2022,3516
CBXX3E,jared.oliver@example.net,8173349442,60,0,552,Silver,Silver,7/2/2022,492
J2XX76,felicia.lucas@example.org,4701701433,12,0,15,Silver,Silver,8/24/2022,3
D9XXY8,scott.olson@example.net,79907918,408,0,568,Silver,Silver,8/27/2022,160
GGXXSG,leah.allen@example.com,2711523624,692,0,767,Silver,Silver,4/30/2022,75
FTXXDM,david.coleman@example.com,6894129685,3619,0,4206,Silver,Gold,9/4/2022,587
CJXXCJ,derek.ibarra@example.net,223767121,104,0,507,Silver,Silver,8/13/2022,403
M2XXGZ,joanna.nicholson@example.net,1889814692,1762,0,2383,Silver,Gold,8/22/2022,621
PZXXVQ,james.meza@example.com,228237138,100,0,213,Silver,Silver,7/13/2022,113
N1XXVC,angela.stevens@example.org,7223943378,7705,0,9313,,Diamond,7/27/2022,1608
OJXXNQ,sarah.weaver@example.net,5124058010,719,0,4586,Gold,Gold,2/15/2022,3867
N1XXVC,deborah.cain@example.org,4431750328,931,0,4128,Gold,Gold,3/24/2022,3197
HNXXL7,anthony.clarke@example.org,2009373037,44,0,120,Silver,Silver,7/26/2022,76
GRXX0B,melinda.singh@example.com,9894957292,402,0,3094,Gold,Gold,7/28/2022,2692
CMXXL0,miguel.coleman@example.com,399443302,477,0,938,Silver,Silver,4/24/2022,461
ONXX88,jasmine.byrd@example.com,1443127997,43,0,844,Silver,Silver,8/15/2022,801
ONXX88,lisa.bell@example.org,5609443606,65,0,318,Silver,Silver,7/14/2022,253
FDXX5F,melissa.rodriguez@example.com,8594572441,264,0,672,Silver,Silver,9/1/2022,408
O5XXRE,marcus.bishop@example.net,5155192714,8419,0,8643,Silver,Diamond,4/6/2022,224
PEXXGC,steven.harrison@example.org,5101055042,58,0,254,Silver,Silver,7/4/2022,196
G6XXB6,oscar.washington@example.net,1939171451,1562,0,3764,Gold,Gold,7/25/2022,2202
G6XXB6,robert.bowman@example.org,9056022521,3756,0,4026,Silver,Gold,8/8/2022,270
MZXXCG,veronica.williamson@example.net,7895745980,164,0,308,Silver,Silver,8/8/2022,144
I6XX00,jessica.ross@example.net,352058283,1163,0,3067,,Gold,1/12/2022,1904
G9XXXW,alexis.johnson@example.com,5533266825,2903,0,3293,Silver,Gold,9/14/2022,390
PMXXMM,tracey.gibbs@example.com,2204707773,19,55,74,Silver,Silver,7/1/2022,110
L6XX01,deborah.manning@example.com,3031767654,833,0,2610,,Gold,12/7/2021,1777
O6XXMY,caleb.jones@example.org,8497058320,105,0,472,Silver,Silver,7/5/2022,367
PMXXMM,lisa.brown@example.net,7443044753,546,0,839,Silver,Silver,9/27/2022,293
BCXX4J,yvonne.taylor@example.com,5001646794,1208,0,2198,Silver,Gold,9/27/2022,990
N4XX74,brandon.decker@example.net,1741016307,31,0,995,Silver,Silver,8/30/2022,964
BQXXC8,bryan.barrett@example.com,7042717345,271,0,698,Silver,Silver,7/8/2022,427
H4XXS2,daniel.garcia@example.net,8842811571,788,0,4701,Gold,Gold,9/2/2022,3913
BQXXC8,matthew.sherman@example.org,1545780478,233,0,907,Silver,Silver,9/2/2022,674
EDXX4M,vanessa.baxter@example.net,4097125020,2,0,735,Silver,Silver,8/14/2022,733
MHXXDX,sarah.bowman@example.com,8987154913,2841,0,3125,Silver,Gold,9/8/2022,284
KZXXZ7,william.patterson@example.net,7746900990,3889,0,3995,Silver,Gold,11/23/2021,106
M0XXL0,diane.weber@example.org,6027546464,1849,0,2576,Silver,Gold,8/19/2021,727
KZXXZ7,robert.burke@example.net,6009277620,501,0,633,Silver,Silver,8/19/2021,132
C4XXXP,nicholas.zavala@example.net,4771170209,28,0,94,Silver,Silver,8/1/2022,66
M0XXL0,megan.fox@example.org,7689505944,522,0,4374,Gold,Gold,8/1/2022,3852
B5XX5X,christopher.collins@example.net,5426207636,257,0,721,Silver,Silver,2/27/2022,464
GSXXLC,leah.yoder@example.net,1249511797,258,0,937,Silver,Silver,9/6/2022,679
BMXX4D,debra.mckay@example.org,9445058913,863,0,928,Silver,Silver,10/13/2021,65
MGXX76,hunter.reynolds@example.com,4007231369,1702,0,2199,Silver,Gold,9/3/2022,497
P9XX0S,jesse.wilson@example.com,99683891,49,0,442,Silver,Silver,4/8/2022,393
PYXXW2,jacob.kidd@example.org,8464740731,21,0,113,Silver,Silver,7/1/2022,92
BMXX4D,robert.ray@example.com,7507649228,1936,0,3628,,Gold,4/14/2022,1692
MGXX76,joseph.pennington@example.com,5094830471,19,0,30,Silver,Silver,3/2/2022,11
P9XX0S,darrell.marshall@example.net,3517250963,1099,0,3763,Gold,Gold,3/2/2022,2664
G1XXTC,william.jacobs@example.com,2045912850,252,0,543,Silver,Silver,6/13/2022,291
JHXX13,austin.nunez@example.org,9430988856,156,0,283,Silver,Silver,6/13/2022,127
JBXX8F,andrew.woods@example.net,4886213093,547,0,754,Silver,Silver,6/23/2022,207
JHXX13,sara.montes@example.org,6805081731,197,0,4776,Gold,Gold,12/21/2021,4579
JBXX8F,maria.miller@example.org,572742479,206,0,417,Silver,Silver,8/24/2022,211
G1XXTC,mary.taylor@example.org,2108541076,175,0,245,Silver,Silver,8/24/2022,70
PLXXRZ,ethan.armstrong@example.com,5626135405,628,0,951,Silver,Silver,8/24/2022,323
GHXXQ0,derek.simmons@example.org,1400376549,253,0,12982,Platinum,Platinum,5/5/2022,12729
PLXXRZ,robert.young@example.org,1262812906,5117,0,7294,Gold,Diamond,8/15/2022,2177
DHXXK1,troy.jackson@example.net,3082907471,575,0,940,Silver,Silver,7/7/2022,365
DHXXK1,crystal.cole@example.net,5363706511,8478,0,14943,Diamond,Platinum,6/6/2022,6465
GHXXQ0,jessica.lambert@example.org,5704079257,2501,0,7152,Gold,Diamond,8/16/2022,4651
JEXX3M,dale.cunningham@example.net,5100551040,3441,0,3552,Silver,Gold,8/16/2022,111
CEXX4T,joseph.jackson@example.com,9462157333,78,0,559,Silver,Silver,7/31/2022,481
JEXX3M,susan.hanson@example.org,1476534864,69,0,290,Silver,Silver,7/31/2022,221
CEXX4T,andrew.avila@example.net,4050095464,1701,1677,4021,Gold,Gold,7/31/2022,3997
FSXXZS,karen.logan@example.org,9904837417,4334,0,4375,Silver,Gold,2/5/2022,41
A1XXJM,melissa.wyatt@example.net,6057946078,92,0,507,Silver,Silver,2/5/2022,415
O7XX7N,elizabeth.roberson@example.com,7664815871,2745,0,3786,,Gold,8/28/2022,1041
O7XX7N,jacob.jimenez@example.com,6791728551,13,0,596,Silver,Silver,8/28/2022,583
A1XXJM,joshua.young@example.org,430048928,541,0,664,Silver,Silver,9/9/2022,123
DZXX01,nathan.campbell@example.org,2656906896,7517,0,8740,,Diamond,6/20/2022,1223
DZXX01,matthew.rice@example.org,6290703347,9075,0,9505,Silver,Diamond,6/20/2022,430
H6XX8Q,sylvia.williams@example.net,6160528440,730,0,942,Silver,Silver,6/20/2022,212
M0XXL5,yolanda.bauer@example.com,9831010944,96,0,840,Silver,Silver,6/20/2022,744
O9XX6Q,stephanie.jones@example.org,4519393578,83,0,566,Silver,Silver,8/29/2022,483
O9XX6Q,kevin.harris@example.net,1904379327,723,239,2026,,Gold,8/29/2022,1542
I9XXWC,shane.richardson@example.org,3979794780,2839,0,3846,,Gold,8/29/2022,1007
I9XXWC,william.gutierrez@example.org,7193285374,704,0,3896,Gold,Gold,8/29/2022,3192
M2XX4D,matthew.harrington@example.net,1354528114,90,0,115,Silver,Silver,8/7/2022,25
D0XX1T,cheryl.perez@example.org,4148261961,287,100,433,Silver,Silver,8/18/2022,246
CFXXMD,matthew.riley@example.com,4285540452,2387,0,6417,Gold,Diamond,8/21/2022,4030
M2XX4D,cameron.blake@example.net,8540806539,3149,0,3280,Silver,Gold,8/11/2022,131
D0XX1T,stephanie.day@example.net,747441546,55,0,393,Silver,Silver,6/16/2022,338
JJXXMW,brett.rodriguez@example.org,3468866458,138,0,910,Silver,Silver,9/10/2022,772
JJXXMW,shane.davis@example.org,1178971603,3384,0,4415,,Gold,6/21/2022,1031
JQXX3M,jason.contreras@example.net,5912429641,1732,0,3325,,Gold,8/27/2022,1593
NGXXPZ,jimmy.smith@example.org,3853693722,73,0,110,Silver,Silver,8/6/2022,37
NGXXPZ,renee.collier@example.net,4728467856,563,0,944,Silver,Silver,8/6/2022,381
JQXX3M,ashley.miller@example.net,3809089031,137,0,172,Silver,Silver,8/2/2022,35
NZXXFV,katherine.berry@example.com,5575693149,3933,0,4164,Silver,Gold,8/2/2022,231
MSXXV1,carla.dodson@example.com,9458646653,110,0,816,Silver,Silver,9/2/2022,706
MSXXV1,cassie.jones@example.org,9349727739,633,0,648,Silver,Silver,6/17/2022,15
AGXXGC,jasmine.johnson@example.org,4489416565,367,0,578,Silver,Silver,6/17/2022,211
AGXXGC,danny.stevens@example.org,6769220054,422,0,964,Silver,Silver,3/31/2022,542
MPXXRF,kayla.thomas@example.net,1963537527,32,0,138,Silver,Silver,3/31/2022,106
NZXXFV,kimberly.rodgers@example.net,9025849871,45,0,48,Silver,Silver,8/18/2022,3
MPXXRF,stephanie.robinson@example.net,8662472951,383,0,929,Silver,Silver,8/18/2022,546
FKXX18,teresa.lee@example.org,1483545144,1274,0,2382,,Gold,9/2/2021,1108
M4XXD8,lori.avery@example.com,6454475880,361,0,449,Silver,Silver,8/15/2022,88
FKXX18,amy.smith@example.com,3780758378,847,0,983,Silver,Silver,9/5/2022,136
M4XXD8,renee.jensen@example.net,8570964995,599,0,2349,,Gold,9/5/2022,1750
ACXXCG,phillip.gonzalez@example.com,5803151274,1046,1585,2966,Gold,Gold,7/29/2022,3505
FQXXPY,andres.day@example.net,1260405980,4953,0,4987,Silver,Gold,7/29/2022,34
FQXXPY,jeffrey.salas@example.org,6810407610,408,0,852,Silver,Silver,8/3/2022,444
FRXXGN,jeffrey.smith@example.com,718158326,291,0,298,Silver,Silver,8/3/2022,7
JRXXK3,kenneth.elliott@example.com,216671069,594,0,830,Silver,Silver,3/31/2022,236
FRXXGN,lisa.burns@example.com,8303756453,539,0,759,Silver,Silver,8/18/2022,220
JRXXK3,rebecca.rivera@example.org,6367015366,985,0,2525,,Gold,8/18/2022,1540
ONXXJM,patricia.moreno@example.com,2072729664,173,0,268,Silver,Silver,9/5/2021,95
ONXXJM,philip.mccoy@example.net,9132561792,424,308,763,Silver,Silver,9/5/2021,647
MBXX6E,nancy.torres@example.com,7666703613,11,0,114,Silver,Silver,3/26/2022,103
I6XX6E,cheryl.garcia@example.org,5611692263,384,0,738,Silver,Silver,3/26/2022,354
FWXXLK,ryan.hernandez@example.com,9384932612,467,0,561,Silver,Silver,8/20/2022,94
BFXXDH,jennifer.cox@example.net,5231483668,7244,0,7579,Silver,Diamond,8/20/2022,335
I6XX6E,kevin.kelley@example.com,1125337617,344,290,641,Silver,Silver,7/21/2022,587
MBXX6E,antonio.miller@example.net,6314672115,1576,0,2849,,Gold,10/14/2021,1273
M4XXY1,lori.johnson@example.com,3359818759,193,0,378,Silver,Silver,8/9/2022,185
BJXXND,tina.quinn@example.net,8716581553,2762,0,4003,,Gold,9/10/2022,1241
GRXXH0,kathleen.hill@example.com,3607888225,28,0,180,Silver,Silver,9/10/2022,152
GRXXH0,mark.palmer@example.com,6809286645,2116,0,3510,,Gold,9/1/2022,1394
MKXXW2,stephanie.nunez@example.net,2714660684,174,0,4591,Gold,Gold,9/1/2022,4417
E0XXKS,brenda.robinson@example.net,4990419686,42,3,45,Silver,Silver,6/17/2022,6
ABXX3M,billy.lopez@example.net,8577210420,51,0,639,Silver,Silver,6/17/2022,588
BJXXND,dustin.cooper@example.net,7968842180,938,0,7664,Diamond,Diamond,7/5/2022,6726
E0XXKS,cassandra.lara@example.org,8261778683,73,0,198,Silver,Silver,7/5/2022,125
NMXXFN,emily.miller@example.org,1218794920,610,0,746,Silver,Silver,8/22/2022,136
NMXXFN,thomas.lawson@example.net,5707233904,2690,0,4350,,Gold,8/22/2022,1660
MKXXW2,timothy.weiss@example.com,52011825,408,0,644,Silver,Silver,9/4/2022,236
ABXX3M,barbara.richardson@example.org,9630442978,175,0,2476,Gold,Gold,9/4/2022,2301
DSXX9G,jeffery.nguyen@example.org,4758492398,301,0,569,Silver,Silver,8/24/2022,268
ARXXJ4,robert.mendez@example.org,5081049825,9990,0,13019,Gold,Platinum,5/15/2022,3029
L1XXNF,nicholas.johnson@example.net,1213550365,1008,0,4269,Gold,Gold,8/28/2022,3261
ARXXJ4,tina.cunningham@example.com,847828527,3481,0,3801,Silver,Gold,8/28/2022,320
L1XXNF,amy.hayes@example.net,5011272789,823,156,4803,Gold,Gold,9/21/2022,4136
ODXXVG,lisa.ross@example.com,1935634878,72,0,892,Silver,Silver,2/23/2022,820
FBXXBQ,jeffrey.stevenson@example.com,2561504023,2239,0,2860,Silver,Gold,2/23/2022,621
M0XXQW,jodi.jimenez@example.net,8376611354,505,0,666,Silver,Silver,6/8/2022,161
FMXXLN,heidi.bruce@example.com,4039959794,481,0,759,Silver,Silver,4/1/2022,278
ODXXVG,thomas.gibbs@example.org,9347473345,776,0,7186,Diamond,Diamond,8/27/2022,6410
PSXXWQ,morgan.maynard@example.net,7566896247,6,0,19,Silver,Silver,12/23/2021,13
M0XXQW,lauren.may@example.org,9995113328,162,0,2303,Gold,Gold,8/3/2022,2141
FBXXBQ,amy.kelly@example.com,4413321100,629,0,8922,Diamond,Diamond,8/3/2022,8293
JVXX88,matthew.wright@example.org,1338837818,239,0,258,Silver,Silver,7/2/2022,19
FMXXLN,charles.warren@example.org,9589205496,641,0,819,Silver,Silver,3/12/2022,178
I0XX7R,gloria.garcia@example.com,2648756605,595,0,846,Silver,Silver,3/12/2022,251
C3XXYM,jeremy.welch@example.com,6308507387,53,0,695,Silver,Silver,8/25/2022,642
O0XX0L,matthew.harrell@example.net,4459009505,2935,0,3327,Silver,Gold,8/25/2022,392
PBXXPC,johnathan.castaneda@example.net,9220087632,1135,0,2656,,Gold,5/9/2022,1521
D1XX7C,monique.strickland@example.org,932919845,13,0,84,Silver,Silver,5/9/2022,71
DDXXYT,michael.anderson@example.org,97640362,481,0,6971,Diamond,Diamond,7/10/2022,6490
MWXXVF,wendy.duncan@example.com,3803590244,221,0,308,Silver,Silver,7/10/2022,87
O0XX0L,jonathan.roberts@example.org,7017390433,4503,0,9133,Gold,Diamond,6/4/2022,4630
O8XX61,james.estes@example.com,2971440443,142,0,429,Silver,Silver,5/10/2022,287
C3XXYM,caleb.ramirez@example.org,141145570,55,0,106,Silver,Silver,5/10/2022,51
HGXXL4,james.hanson@example.com,529938077,1546,0,8668,Diamond,Diamond,8/17/2022,7122
DXXX5J,tracy.gray@example.com,8244793933,1855,0,4505,Gold,Gold,8/17/2022,2650
DXXX5J,brian.anderson@example.org,2008546151,1827,0,4295,Gold,Gold,7/10/2022,2468
N6XX9T,peter.smith@example.net,2278906441,2916,705,3642,,Gold,6/30/2022,1431
MWXXVF,jennifer.walker@example.com,6039200656,487,0,825,Silver,Silver,8/31/2022,338
N6XX9T,jeremy.young@example.org,2880475633,7574,0,8542,Silver,Diamond,7/4/2022,968
D1XX7C,justin.tate@example.com,189286515,650,0,5886,Diamond,Diamond,7/4/2022,5236
HGXXL4,jacob.green@example.com,7309591084,49,615,718,,Silver,1/13/2022,1284
PBXXPC,makayla.lewis@example.org,1724097882,182,0,319,Silver,Silver,1/13/2022,137
M4XX7E,sarah.bradley@example.net,2141778600,3260,169,3460,Silver,Gold,9/15/2022,369
O3XXKM,michael.eaton@example.org,5169008056,4546,0,7447,Gold,Diamond,9/15/2022,2901
O7XX6Y,joshua.wright@example.com,165051623,8,0,477,Silver,Silver,6/23/2022,469
M8XXKE,erica.brooks@example.net,3719244090,133,0,311,Silver,Silver,6/23/2022,178
MLXXDS,thomas.king@example.com,1377471915,163,0,183,Silver,Silver,8/16/2022,20
M4XX7E,elizabeth.miller@example.org,7956473548,217,0,3534,Gold,Gold,8/16/2022,3317
O7XX6Y,jesus.jones@example.org,5487484173,47,0,53,Silver,Silver,8/16/2022,6
MLXXDS,jared.vaughan@example.org,7613621610,148,0,179,Silver,Silver,6/14/2022,31
O3XXKM,kelly.parks@example.net,9347572705,92,0,826,Silver,Silver,7/18/2022,734
M8XXKE,keith.reese@example.com,5809825116,548,354,2066,,Gold,7/12/2022,1872
GHXXWZ,dale.harmon@example.org,2410338464,69,0,614,Silver,Silver,8/8/2022,545
GHXXWZ,jeremy.combs@example.org,1444712306,255,0,464,Silver,Silver,3/10/2021,209
B4XXBB,gary.martin@example.com,4802040377,670,0,779,Silver,Silver,8/19/2022,109
B4XXBB,joy.carr@example.net,8682670832,38,0,308,Silver,Silver,2/22/2022,270
LLXX7T,patrick.mitchell@example.net,4863579972,52,0,57,Silver,Silver,2/16/2022,5
LLXX7T,joseph.robinson@example.org,7489387852,446,0,634,Silver,Silver,8/5/2022,188
BXXXBD,justin.petersen@example.com,3753760846,733,0,838,Silver,Silver,9/13/2022,105
K0XXPN,alex.evans@example.net,6247440159,74,0,83,Silver,Silver,8/20/2022,9
IQXXY2,samantha.edwards@example.com,4634387868,1791,0,3393,,Gold,8/20/2022,1602
B4XX7D,joseph.miller@example.com,4578881917,49,0,413,Silver,Silver,8/20/2022,364
IPXXVY,heather.hood@example.org,9204116136,67,0,90,Silver,Silver,6/30/2022,23
AZXXPC,gina.rodriguez@example.com,508609500,310,0,389,Silver,Silver,6/6/2022,79
IQXXY2,maxwell.mitchell@example.net,5203115835,177,0,592,Silver,Silver,6/6/2022,415
K0XXPN,jonathan.nelson@example.com,6460994544,36,0,45,Silver,Silver,8/17/2022,9
PNXXYQ,alison.smith@example.net,2392221306,6,0,84,Silver,Silver,7/4/2022,78
B4XX7D,tracy.wright@example.org,9691028805,5632,0,9964,Gold,Diamond,8/21/2022,4332
PNXXYQ,glen.davis@example.com,9681093439,302,0,817,Silver,Silver,2/14/2022,515
MBXXC4,rebecca.mills@example.com,3443882778,625,0,694,Silver,Silver,2/14/2022,69
LZXXWF,laura.carter@example.org,7609781233,13,0,269,Silver,Silver,8/25/2022,256
MBXXC4,margaret.houston@example.net,7279194199,280,0,370,Silver,Silver,8/25/2022,90
BXXXPH,travis.weber@example.org,8947896153,39,0,7757,Diamond,Diamond,6/17/2022,7718
BXXXPH,brittany.pena@example.net,6525792724,443,0,555,Silver,Silver,6/17/2022,112
I9XXG7,denise.serrano@example.org,6189708876,12,0,260,Silver,Silver,7/12/2022,248
J3XXHX,mary.valenzuela@example.org,8337314012,2661,0,2998,Silver,Gold,7/12/2022,337
LZXXWF,leah.beltran@example.net,9620456500,335,0,3218,Gold,Gold,2/20/2022,2883
J3XXHX,peggy.estrada@example.org,673685985,124,0,924,Silver,Silver,2/20/2022,800
I9XXG7,jennifer.howard@example.com,4246811078,237,0,3628,Gold,Gold,8/31/2022,3391
EQXXNN,vicki.miller@example.net,5046293865,30,0,245,Silver,Silver,8/31/2022,215
IQXXX4,christopher.ellis@example.org,5161413308,9728,0,13641,Gold,Platinum,6/18/2022,3913
GJXXS8,barbara.ball@example.net,5322573318,310,0,366,Silver,Silver,6/18/2022,56
GJXXS8,kevin.martin@example.org,9858028768,566,0,3667,Gold,Gold,7/17/2022,3101
EQXXNN,gary.villarreal@example.com,4602996654,2231,0,3837,,Gold,7/17/2022,1606
IQXXX4,cheryl.simpson@example.org,569424785,188,0,615,Silver,Silver,7/17/2022,427
MVXX36,gregory.ray@example.org,3622542334,163,0,331,Silver,Silver,8/8/2022,168
P2XX71,amber.gordon@example.org,5079018001,5812,0,6624,Silver,Diamond,8/8/2022,812
MVXX36,mark.martinez@example.org,1377114224,1439,0,3950,Gold,Gold,8/8/2022,2511
H7XXKK,ashley.martin@example.net,5181320611,1814,0,2606,Silver,Gold,1/8/2021,792
AFXX3G,jesse.cox@example.com,8894277306,3167,0,4238,,Gold,1/8/2021,1071
AFXX3G,nicholas.johnson@example.net,2267499456,3078,331,4301,,Gold,1/27/2022,1554
P2XX71,patricia.lee@example.net,7164869489,10,231,460,Silver,Silver,1/27/2022,681
ECXXHF,jane.palmer@example.com,354856383,2492,0,3500,,Gold,7/25/2022,1008
PTXXLQ,gail.coleman@example.com,2751966310,498,0,564,Silver,Silver,7/25/2022,66
PTXXLQ,gerald.martinez@example.com,5834168073,290,0,736,Silver,Silver,6/4/2022,446
CCXXV9,erin.lewis@example.com,3053724773,311,0,489,Silver,Silver,6/4/2022,178
CCXXV9,james.nelson@example.org,9153629528,95,0,373,Silver,Silver,6/10/2022,278
L1XXWW,jennifer.dillon@example.com,4667450949,3009,0,4001,Silver,Gold,6/10/2022,992
L1XXWW,jordan.jennings@example.net,1290993713,7444,0,9088,,Diamond,8/11/2022,1644
B0XXWE,kerri.houston@example.org,1530834983,308,0,582,Silver,Silver,8/11/2022,274
B0XXWE,audrey.lawson@example.net,1045556651,153,0,173,Silver,Silver,8/6/2022,20
BFXXZ2,joseph.cruz@example.org,8736687479,286,0,860,Silver,Silver,8/6/2022,574
BFXXZ2,barbara.williams@example.org,7616274436,99,0,618,Silver,Silver,6/14/2022,519
AXXXZ5,connie.mclean@example.com,6503043242,44,0,232,Silver,Silver,7/31/2022,188
AXXXZ5,debbie.wu@example.net,3305280478,288,0,762,Silver,Silver,7/31/2022,474
BQXXH1,lisa.weber@example.net,8143747004,661,0,731,Silver,Silver,9/8/2022,70
DRXXT8,allen.olson@example.org,8515506382,823,2263,4625,Diamond,Gold,9/8/2022,6065
DTXXEJ,william.gonzales@example.org,9677872580,443,0,798,Silver,Silver,7/30/2022,355
DTXXEJ,tonya.gutierrez@example.net,1712956036,31,0,212,Silver,Silver,7/30/2022,181
M0XXL6,jacqueline.nixon@example.org,9009730412,3142,0,3618,Silver,Gold,8/14/2022,476
M0XXL6,eric.parker@example.com,362078958,98,0,477,Silver,Silver,8/14/2022,379
L4XXK2,shaun.wood@example.com,3492676127,2108,0,4423,Gold,Gold,8/14/2022,2315
GJXXM6,kristine.lara@example.net,4608757941,497,0,4470,Gold,Gold,8/14/2022,3973
GJXXM6,emily.price@example.com,405216613,300,0,644,Silver,Silver,8/15/2022,344
L4XXK2,tanya.moyer@example.net,2315031713,2321,0,3891,,Gold,8/15/2022,1570
A9XX3W,wanda.lane@example.com,7632242919,2386,532,3027,,Gold,8/15/2022,1173
A9XX3W,amber.sanchez@example.org,7948242899,600,0,746,Silver,Silver,8/15/2022,146
J8XX9D,samuel.gonzalez@example.net,2650754926,1440,0,2281,Silver,Gold,3/2/2022,841
J8XX9D,michael.morris@example.com,5590414329,6217,0,9100,Gold,Diamond,3/9/2022,2883
F0XXEN,jose.bowen@example.org,7585262797,798,0,3697,Gold,Gold,3/9/2022,2899
F0XXEN,john.ruiz@example.org,4776611885,283,1962,2267,Gold,Gold,7/23/2022,3946
F5XX8F,jonathan.miller@example.net,7451562607,3111,0,6383,Gold,Diamond,7/23/2022,3272
F5XX8F,marisa.garcia@example.org,4902391265,2831,917,7125,Diamond,Diamond,2/2/2022,5211
FDXXVK,brandon.smith@example.net,7818296493,7906,0,8559,Silver,Diamond,2/2/2022,653
FDXXVK,wyatt.lewis@example.com,2556549645,881,0,4725,Gold,Gold,7/14/2022,3844
JQXX6N,kristi.simpson@example.com,4771961125,672,0,1000,Silver,,7/14/2022,328
JQXX6N,latasha.roberts@example.net,7153445780,104,0,141,Silver,Silver,8/25/2022,37
G9XXPJ,sarah.alexander@example.com,9382612491,262,0,4383,Gold,Gold,8/25/2022,4121
G9XXPJ,emily.stewart@example.org,1452225553,647,0,684,Silver,Silver,7/3/2022,37
L7XX4N,joseph.sims@example.com,9496292735,20,0,201,Silver,Silver,7/3/2022,181
F3XXE2,tom.campbell@example.net,819834899,2,0,567,Silver,Silver,12/16/2021,565
HEXX54,jacqueline.wise@example.com,7095235604,140,0,399,Silver,Silver,1/9/2022,259
HEXX54,alexandra.martin@example.org,2171241943,2169,0,4928,Gold,Gold,1/9/2022,2759
JJXXF7,kimberly.collins@example.com,6267175732,78,0,4456,Gold,Gold,7/24/2022,4378
AMXX3D,ronnie.reyes@example.org,6081561666,3068,0,3490,Silver,Gold,7/24/2022,422
LZXXR1,vanessa.nguyen@example.com,3517746586,1454,0,4965,Gold,Gold,5/30/2022,3511
LZXXR1,hannah.williams@example.net,656998638,8179,0,8406,Silver,Diamond,5/30/2022,227
BEXXKX,brian.beck@example.net,89883806,26,0,53,Silver,Silver,8/26/2022,27
A8XXHV,audrey.gibbs@example.org,9413298895,1442,0,4895,Gold,Gold,8/26/2022,3453
A8XXHV,ryan.hale@example.com,1673813338,1609,1531,3157,Gold,Gold,12/4/2021,3079
IGXX7Y,joshua.berg@example.org,8709395624,121,0,668,Silver,Silver,12/4/2021,547
IGXX7Y,jennifer.vasquez@example.net,4976680025,80,0,3040,Gold,Gold,8/18/2022,2960
BGXX5C,krista.middleton@example.com,4591335305,1047,0,4419,Gold,Gold,8/31/2022,3372
BGXX5C,andrew.hamilton@example.org,8526024197,64,0,155,Silver,Silver,8/31/2022,91
E1XXXD,jennifer.jones@example.com,5670541912,541,223,809,Silver,Silver,9/9/2022,491
DVXXKT,mark.jensen@example.com,5692001440,976,0,2188,,Gold,9/9/2022,1212
DVXXKT,anthony.jennings@example.org,2063035617,760,0,804,Silver,Silver,2/9/2022,44
PWXXFM,lisa.bennett@example.org,2889412027,16,0,75,Silver,Silver,2/9/2022,59
P9XXRJ,james.hopkins@example.org,3114298661,1429,0,3330,,Gold,8/19/2022,1901
N2XXWC,anthony.marsh@example.org,7881484825,459,0,831,Silver,Silver,8/19/2022,372
